filename,x,y,width,height,classe
image-0.jpg,15,19,225,235,velo_personne_casque
image-2.jpg,3,76,251,160,velo_personne_casque
image-3.jpg,125,12,93,209,velo_personne_casque
image-4.jpg,1,43,253,213,velo_personne
image-5.jpg,12,79,99,169,velo_personne
image-6.jpg,43,1,206,255,velo_personne_casque
image-7.jpg,79,22,76,211,velo_personne
image-7.jpg,199,43,55,169,velo_personne
image-9.jpg,15,43,195,192,velo_personne
image-10.jpg,1,40,254,206,velo_personne
image-11.jpg,1,63,195,193,velo_personne
image-13.jpg,0,39,73,130,velo_personne
image-13.jpg,115,45,43,112,velo_personne
image-15.jpg,115,42,44,99,velo_personne
image-15.jpg,125,131,46,116,velo_personne
image-16.jpg,11,20,83,229,velo_personne
image-16.jpg,119,20,100,205,velo_personne
image-17.jpg,99,43,151,194,velo_personne
image-20.jpg,12,28,137,221,velo_personne
image-23.jpg,39,27,209,217,velo_personne
image-25.jpg,188,93,65,148,velo_personne_casque
image-26.jpg,42,3,172,252,velo_personne
image-27.jpg,3,29,54,85,velo_personne_casque
image-27.jpg,39,10,46,83,velo_personne_casque
image-27.jpg,90,35,59,91,velo_personne_casque
image-27.jpg,147,69,67,99,velo_personne
image-27.jpg,112,139,87,113,velo_personne_casque
image-28.jpg,14,88,110,123,velo_personne_casque
image-28.jpg,168,77,87,128,velo_personne_casque
image-29.jpg,95,45,140,161,velo_personne
image-30.jpg,1,20,171,201,velo_personne
image-30.jpg,87,25,167,228,velo_personne
image-31.jpg,1,101,101,115,velo_personne_casque
image-31.jpg,87,114,147,135,velo_personne_casque
image-31.jpg,122,100,133,127,velo_personne_casque
image-32.jpg,66,2,109,253,velo_personne_casque
image-33.jpg,57,48,139,149,velo_personne_casque
image-35.jpg,77,108,50,127,velo_personne
image-35.jpg,207,110,43,119,velo_personne_casque
image-35.jpg,156,141,22,60,velo_personne
image-36.jpg,45,32,105,208,velo_personne_casque
image-36.jpg,167,25,87,202,velo_personne
image-38.jpg,32,123,41,97,velo_personne_casque
image-38.jpg,135,91,53,125,velo_personne
image-39.jpg,128,53,43,154,velo_personne_casque
image-40.jpg,99,6,108,251,velo_personne_casque
image-40.jpg,35,139,44,106,velo_personne_casque
image-41.jpg,29,44,119,177,velo_personne_casque
image-41.jpg,138,33,79,119,velo_personne_casque
image-41.jpg,179,56,77,172,velo_personne_casque
image-41.jpg,206,1,48,97,velo_personne_casque
image-42.jpg,31,19,221,223,velo_personne
image-44.jpg,129,85,70,133,velo_personne_casque
image-45.jpg,35,153,61,95,velo_personne_casque
image-46.jpg,9,15,105,240,velo_personne_casque
image-48.jpg,28,48,117,164,velo_personne
image-50.jpg,118,57,52,163,velo_personne_casque
image-51.jpg,69,15,89,225,velo_personne_casque
image-52.jpg,16,65,149,162,velo_personne_casque
image-53.jpg,126,69,61,129,velo_personne_casque
image-55.jpg,47,60,175,175,velo_personne
image-58.jpg,1,21,157,197,velo_personne
image-59.jpg,166,49,73,202,velo_personne_casque
image-60.jpg,1,39,169,189,velo_personne_casque
image-62.jpg,89,33,67,219,velo_personne
image-62.jpg,178,55,68,199,velo_personne
image-63.jpg,26,19,74,176,velo_personne_casque
image-63.jpg,164,17,82,173,velo_personne_casque
image-65.jpg,24,89,28,71,velo_personne_casque
image-65.jpg,103,88,51,66,velo_personne_casque
image-65.jpg,31,175,56,71,velo_personne_casque
image-66.jpg,62,57,120,198,velo_personne_casque
image-67.jpg,157,10,69,215,velo_personne
image-68.jpg,149,6,102,249,velo_personne
image-69.jpg,53,57,201,164,velo_personne
image-70.jpg,54,75,88,177,velo_personne
image-73.jpg,151,53,55,115,velo_personne_casque
image-75.jpg,63,29,192,192,velo_personne_casque
image-76.jpg,57,30,199,219,velo_personne_casque
image-77.jpg,39,94,55,102,velo_personne
image-77.jpg,79,89,39,85,velo_personne
image-77.jpg,117,87,60,89,velo_personne
image-77.jpg,181,89,33,80,velo_personne
image-77.jpg,217,89,32,77,velo_personne
image-78.jpg,2,8,123,229,velo_personne
image-79.jpg,153,35,95,83,velo_personne
image-80.jpg,86,69,77,187,velo_personne_casque
image-80.jpg,1,70,56,154,velo_personne_casque
image-81.jpg,164,71,77,173,velo_personne
image-81.jpg,61,69,50,133,velo_personne
image-81.jpg,14,71,39,104,velo_personne
image-81.jpg,90,64,39,115,velo_personne
image-82.jpg,85,33,119,221,velo_personne
image-83.jpg,13,19,57,187,velo_personne
image-83.jpg,161,25,69,199,velo_personne_casque
image-84.jpg,107,91,62,155,velo_personne_casque
image-85.jpg,94,23,93,229,velo_personne
image-86.jpg,1,85,100,161,velo_personne_casque
image-86.jpg,25,100,125,116,velo_personne
image-86.jpg,170,96,85,120,velo_personne
image-87.jpg,1,125,96,95,velo_personne_casque
image-87.jpg,99,23,136,209,velo_personne_casque
image-89.jpg,19,44,124,212,velo_personne_casque
image-89.jpg,133,29,93,227,velo_personne_casque
image-91.jpg,9,95,145,149,velo_personne_casque
image-92.jpg,141,7,83,221,velo_personne
image-93.jpg,91,59,161,188,velo_personne_casque
image-94.jpg,9,7,86,197,velo_personne
image-94.jpg,104,41,28,64,velo_personne
image-95.jpg,133,35,78,199,velo_personne_casque
image-98.jpg,86,28,169,224,velo_personne_casque
image-99.jpg,32,55,77,182,velo_personne
image-99.jpg,130,63,73,173,velo_personne
image-99.jpg,191,81,53,145,velo_personne
image-102.jpg,18,45,35,91,velo_personne
image-103.jpg,-1,-1,-1,-1,rien
image-105.jpg,27,89,24,49,velo_personne
image-106.jpg,195,133,37,42,velo
image-107.jpg,97,91,56,164,velo
image-108.jpg,183,18,57,111,velo_personne
image-109.jpg,145,131,36,91,velo_personne
image-110.jpg,166,20,57,139,velo_personne_casque
image-111.jpg,1,63,233,159,velo_personne_casque
image-112.jpg,138,10,117,103,velo
image-113.jpg,-1,-1,-1,-1,rien
image-114.jpg,120,131,69,82,velo_personne
image-115.jpg,-1,-1,-1,-1,rien
image-116.jpg,-1,-1,-1,-1,rien
image-118.jpg,46,125,89,84,velo
image-119.jpg,-1,-1,-1,-1,rien
image-120.jpg,-1,-1,-1,-1,rien
image-121.jpg,52,17,99,187,velo
image-122.jpg,26,72,45,39,velo
image-122.jpg,95,74,54,45,velo
image-122.jpg,154,84,49,41,velo
image-123.jpg,-1,-1,-1,-1,rien
image-124.jpg,83,31,45,95,velo_personne_casque
image-125.jpg,-1,-1,-1,-1,rien
image-126.jpg,43,129,46,48,velo_personne
image-128.jpg,-1,-1,-1,-1,rien
image-129.jpg,119,89,89,91,velo_personne_casque
image-130.jpg,107,109,80,69,velo
image-131.jpg,-1,-1,-1,-1,rien
image-132.jpg,-1,-1,-1,-1,rien
image-138.jpg,133,75,43,79,velo_personne
image-140.jpg,159,85,35,81,velo_personne_casque
image-141.jpg,62,23,59,116,velo_personne
image-142.jpg,23,138,60,96,velo_personne
image-142.jpg,97,144,47,104,velo_personne
image-143.jpg,95,48,50,41,velo
image-145.jpg,19,120,34,27,velo
image-145.jpg,67,126,43,22,velo
image-145.jpg,161,127,40,27,velo
image-147.jpg,129,86,43,33,velo
image-147.jpg,12,88,47,27,velo
image-147.jpg,34,62,130,178,velo_personne
